sheet_date,student_index,present,note
31.05.2019,10000409,1,
31.05.2019,10009301,1,signature overflows into the row below
31.05.2019,10009302,1,
31.05.2019,10009303,1,
31.05.2019,10009304,1,
31.05.2019,10009306,1,
21.06.2019,10000409,1,
21.06.2019,10009301,1,
21.06.2019,10009302,1,
21.06.2019,10009303,1,
21.06.2019,10009304,1,
21.06.2019,10009306,0,cell contains the lecturer's handwritten "ab" not a signature
28.06.2019,10000409,1,
28.06.2019,10009301,0,
28.06.2019,10009302,0,
28.06.2019,10009303,1,
28.06.2019,10009304,1,
28.06.2019,10009306,1,
05.07.2019,10000409,1,
05.07.2019,10009301,0,
05.07.2019,10009302,1,signature overflows into the row below
05.07.2019,10009303,0,cell contains a small stray red pen mark only
05.07.2019,10009304,1,
05.07.2019,10009306,1,
12.07.2019,10000409,1,
12.07.2019,10009301,1,
12.07.2019,10009302,1,
12.07.2019,10009303,1,
12.07.2019,10009304,1,
12.07.2019,10009306,1,
